Prime include unlimited data	PRODUCT
shared family data allowance	PRODUCT
Business Multi-line Plan provides	PRODUCT
Does Business Multi-line Plan	PRODUCT
Does eSIM Tourist Plan	PRODUCT
Some Student Plan promotions	PRODUCT
eSIM Tourist Plan provides	PRODUCT
with Student Plan	PRODUCT
Plus include	PRODUCT
The eSIM Tourist Plan	PRODUCT
Tourist Plan include	PRODUCT
length for Student Plan	PRODUCT
includes priority customer support	DEPARTMENT
Family Bundle provides high-capacity	PRODUCT
includes shared family data	PRODUCT
Prime provides unlimited data	PRODUCT
Tour Pass provides unlimited	PRODUCT
includes unlimited data with	PRODUCT
Basic provides unlimited data	PRODUCT
Plus provides a set	PRODUCT
Student Plan provides a	PRODUCT
Basic provides a set	MISC
Student Plan provides high-capacity	PRODUCT
Plus provides unlimited data	PRODUCT
Plus provides high-capacity data	PRODUCT
data allowance	MISC
Family Bundle provides unlimited	PRODUCT
Prime provides high-capacity data	MISC
Basic provides high-capacity data	MISC
Family Bundle provides a	PRODUCT
Student Plan provides unlimited	PRODUCT
Basic includes free streaming	MISC
Basic includes portable Wi	MISC
Basic includes unlimited data	PRODUCT
Basic includes international call	MISC
Basic includes shared family	PRODUCT
Plus includes discounted device	PRODUCT
Plus includes device installment	PRODUCT
Prime includes unlimited data	PRODUCT
Plus includes priority customer	PRODUCT
Plus includes unlimited data	PRODUCT
Prime includes priority customer	MISC
Basic includes discounted device	MISC
Prime includes shared family	PRODUCT
Basic includes device installment	MISC
Plus includes portable Wi	PRODUCT
Plus includes free streaming	PRODUCT
Basic includes priority customer	MISC
Plus includes shared family	PRODUCT
Plus includes international call	PRODUCT
